language,case,default,morphological,noun_type,noun_class,number,conditioning,form,form_add,form_replace,form_delete,prosodic_form,prosody_clean,case_broad,form_add_s,form_add_prefix,form_add_suffix,form_add_all,vowel_pres,cons_pres,vowel_end,obstr_vl_pres,obstr_vl_count,obstr_vl_prop,last_vowel,last_vowel_qual,v_height,v_long,cons_end,cons_onset
Aguaruna,accusative,TRUE,affix,NA,,,,-na,-n,,,NA,FALSE,acc-like,-n,,n,n,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,NA,NA,TRUE,FALSE
Aguaruna,nominative,TRUE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aguaruna,vocative,TRUE,prosodic,"personal names, kindship terms",,,,NA,-V,,,supression of apocope,TRUE,vocative,-V,,V,V,TRUE,FALSE,TRUE,FALSE,0,0,V,V,NA,FALSE,FALSE,FALSE
Aguaruna,vocative,FALSE,affix,NA,,,,-u,-Vu,,,NA,TRUE,vocative,-Vu,,Vu,Vu,TRUE,FALSE,TRUE,FALSE,0,0,u,u,h,FALSE,FALSE,FALSE
Aguaruna,vocative,FALSE,affix,human referents,,,,-ta,-Vta,,,NA,TRUE,vocative,-Vta,,Vta,Vta,TRUE,TRUE,TRUE,TRUE,1,0.3333333333333333,a,a,l,FALSE,FALSE,TRUE
Aguaruna,vocative,FALSE,affix,human referents,,,,-wa,-Vwa,,,NA,TRUE,vocative,-Vwa,,Vwa,Vwa,TRUE,TRUE,TRUE,FALSE,0,0,a,a,l,FALSE,FALSE,TRUE
Akkadian,accusative,FALSE,affix,NA,,sg,,-am,-am,,,NA,FALSE,acc-like,-am,,am,am,TRUE,TRUE,FALSE,FALSE,0,0,a,a,l,FALSE,TRUE,FALSE
Akkadian,accusative,FALSE,affix,NA,,dual,,-i:n,-iin,,,NA,FALSE,acc-like,-iin,,iin,iin,TRUE,TRUE,FALSE,FALSE,0,0,ii,i,h,TRUE,TRUE,FALSE
Akkadian,accusative,FALSE,affix,NA,m,pl,,-i:,-ii,,,NA,FALSE,acc-like,-ii,,ii,ii,TRUE,FALSE,TRUE,FALSE,0,0,ii,i,h,TRUE,FALSE,FALSE
Akkadian,accusative,FALSE,affix,NA,f,pl,,-a:t-im,-aatim,,,NA,FALSE,acc-like,-aatim,,aatim,aatim,TRUE,TRUE,FALSE,TRUE,1,0.2,i,i,h,FALSE,TRUE,FALSE
Akkadian,nominative,FALSE,affix,NA,,sg,,-um,-um,,,NA,FALSE,nom-like,-um,,um,um,TRUE,TRUE,FALSE,FALSE,0,0,u,u,h,FALSE,TRUE,FALSE
Akkadian,nominative,FALSE,affix,NA,,dual,,-a:n,-aan,,,NA,FALSE,nom-like,-aan,,aan,aan,TRUE,TRUE,FALSE,FALSE,0,0,aa,a,l,TRUE,TRUE,FALSE
Akkadian,nominative,FALSE,affix,NA,m,pl,,-u:,-uu,,,NA,FALSE,nom-like,-uu,,uu,uu,TRUE,FALSE,TRUE,FALSE,0,0,uu,u,h,TRUE,FALSE,FALSE
Akkadian,nominative,FALSE,affix,NA,f,pl,,-a:t-um,-aatum,,,NA,FALSE,nom-like,-aatum,,aatum,aatum,TRUE,TRUE,FALSE,TRUE,1,0.2,u,u,h,FALSE,TRUE,FALSE
Akkadian,vocative,FALSE,affix,NA,,,,-i:,-ii,,,NA,FALSE,vocative,-ii,,ii,ii,TRUE,FALSE,TRUE,FALSE,0,0,ii,i,h,TRUE,FALSE,FALSE
Amele,vocative,FALSE,particle,"proper name, kinship term, title, greeting",,,,__ ## o,-o,,,NA,FALSE,vocative,-o,,o,o,TRUE,FALSE,TRUE,FALSE,0,0,o,o,m,FALSE,FALSE,FALSE
Amele,vocative,FALSE,particle,"proper name, kinship term, title, greeting",,,,__ ## e,-e,,,NA,FALSE,vocative,-e,,e,e,TRUE,FALSE,TRUE,FALSE,0,0,e,e,m,FALSE,FALSE,FALSE
Amharic,nominative,FALSE,affix,NA,,,,zero,zero,,,NA,FALSE,nom-like,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amharic,accusative,FALSE,affix,definite,,,C_,-ən,-ən,,,NA,FALSE,acc-like,-ən,,ən,ən,TRUE,TRUE,FALSE,FALSE,0,0,ə,ə,m,FALSE,TRUE,FALSE
