bookkeeping	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	markup_description	name	newick	pk	status	genus_name	family	color	latlong_combined	duplicate
False	0	0	0		202	2656	aiw	aari1239	{}	5.95034	language	36.5721		Aari	'Aari [aari1239][aiw]-l-'	4424	unknown/safe	South Omotic	South Omotic	#A9A9A9	5.95034 36.5721	FALSE
False	0	0	0		376	4943	aas	aasa1238	{}	-4.00679	language	36.8648		Aasax	'Aasax [aasa1238][aas]-l-'	7144	extinct		Afro-Asiatic	#FF0000	-4.00679 36.8648	FALSE
False	0	0	0		21	19351	kbt	abad1241	{}	-9.03389	language	146.992		Abadi	'Abadi [abad1241][kbt]-l-'	20702	unknown/safe		Austronesian	#A9A9A9	-9.03389 146.992	FALSE
False	0	0	0		50	10771	abg	abag1245	{}	-6.12028	language	145.665		Abaga	'Abaga [abag1245][abg]-l-'	13588	critically endangered		Nuclear Trans New Guinea	#FF6500	-6.12028 145.665	FALSE
False	0	0	0		21	10593	abf	abai1240	{}	5.55394	language	118.306		Abai Sungai	'Abai Sungai [abai1240][abf]-l-'	13413	definitely endangered		Austronesian	#EDED21	5.55394 118.306	FALSE
False	0	0	0		10	17246	abm	aban1242	{}	6.30619	language	8.63055		Abanyom	'Abanyom [aban1242][abm]-l-'	18795	unknown/safe		Atlantic-Congo	#A9A9A9	6.30619 8.63055	FALSE
False	0	0	0		10	5196	mij	abar1238	{}	6.5805	language	10.2267		Mungbam	'Mungbam [abar1238][mij]-l-'	7603	unknown/safe		Atlantic-Congo	#A9A9A9	6.5805 10.2267	FALSE
False	0	0	0		142	142	aau	abau1245	{}	-3.97222	language	141.324		Abau	'Abau [abau1245][aau]-l-'	1214	unknown/safe	Upper Sepik	Sepik	#A9A9A9	-3.97222 141.324	FALSE
False	3	0	0		351	1603	abq	abaz1241	{}	41.1214	language	42.7273		Abaza	('Ashkaraua [ashk1247]','Bezshagh [bezs1238]','Tapanta [tapa1256]')'Abaza [abaz1241][abq]-l-'	3003	definitely endangered	Northwest Caucasian	Abkhaz-Adyge	#EDED21	41.1214 42.7273	FALSE
False	4	0	0		10	5211	aba	abee1242	{}	5.59682	language	-4.38497		Abé	('Abbey-Ve [abbe1238]','Kos [koss1238]','Morie [mori1266]','Tioffo [tiof1238]')'Abé [abee1242][aba]-l-'	7635	unknown/safe		Atlantic-Congo	#A9A9A9	5.59682 -4.38497	FALSE
False	0	0	0		21	7802	abp	aben1249	{}	15.4131	language	120.2		Abenlen Ayta	'Abenlen Ayta [aben1249][abp]-l-'	10439	unknown/safe		Austronesian	#A9A9A9	15.4131 120.2	FALSE
False	2	0	0		10	5211	abi	abid1235	{}	5.65656	language	-4.58421		Abidji	('Enyembe [enye1238]','Ogbru [ogbr1242]')'Abidji [abid1235][abi]-l-'	7634	unknown/safe	Kwa	Atlantic-Congo	#A9A9A9	5.65656 -4.58421	FALSE
False	0	0	0				bsa	abin1243	{}	-2.92281	language	138.891		Abinomn	'Abinomn [abin1243][bsa]-l-'	255	unknown/safe			#A9A9A9	-2.92281 138.891	FALSE
False	0	0	0		41	615	axb	abip1241	{}	-29	language	-61		Abipon	'Abipon [abip1241][axb]-l-'	2003	extinct		Guaicuruan	#FF0000	-29 -61	FALSE
False	0	0	0				ash	abis1238	{}	-0.69386	language	-75.2183		Aewa	'Aewa [abis1238][ash]-l-'	341	extinct			#FF0000	-0.69386 -75.2183	FALSE
False	3	0	0		351	1603	abk	abkh1244	{}	43.056218	language	41.159115		Abkhazian	('Abzhui [abzh1238]','Bzyb [bzyb1238]','Samurzakan [samu1242]')'Abkhazian [abkh1244][abk]-l-'	3002	vulnerable	Northwest Caucasian	Abkhaz-Adyge	#CBCB65	43.056218 41.159115	FALSE
False	0	0	0		201	1347	aob	abom1238	{}	-8.42448	language	142.842		Abom	'Abom [abom1238][aob]-l-'	2654	unknown/safe		Anim	#A9A9A9	-8.42448 142.842	FALSE
False	0	0	0		10	10171	abo	abon1238	{}	6.90621	language	10.8769		Abon	'Abon [abon1238][abo]-l-'	12845	unknown/safe		Atlantic-Congo	#A9A9A9	6.90621 10.8769	FALSE
False	0	0	0		10	12970	abr	abro1238	{}	7.72094	language	-2.50289		Abron	'Abron [abro1238][abr]-l-'	15585	unknown/safe		Atlantic-Congo	#A9A9A9	7.72094 -2.50289	FALSE
False	4	0	0		10	7522	abn	abua1244	{}	4.83057	language	6.61492		Abua	('Central Abuan [cent2029]','Emughan [emug1238]','Okpeden [okpe1247]','Otapha [otap1238]')'Abua [abua1244][abn]-l-'	10054	unknown/safe		Atlantic-Congo	#A9A9A9	4.83057 6.61492	FALSE
False	3	0	0		192	2552	abz	abui1241	{}	-8.31058	language	124.588		Abui	('Alakaman [alak1254]','Atimelang [atim1239]','Kobola [kobo1247]')'Abui [abui1241][abz]-l-'	4325	unknown/safe	Greater Alor	Timor-Alor-Pantar	#A9A9A9	-8.31058 124.588	FALSE
False	3	0	0				kgr	abun1252	{}	-0.57073	language	132.416		Abun	('Abun Je [abun1253]','Abun Ji [abun1255]','Abun Tat [abun1254]')'Abun [abun1252][kgr]-l-'	176	unknown/safe	North-Central Bird's Head		#A9A9A9	-0.57073 132.416	FALSE
False	0	0	0		10	10231	abu	abur1243	{}	5.21534	language	-3.64123		Abure	'Abure [abur1243][abu]-l-'	12968	unknown/safe		Atlantic-Congo	#A9A9A9	5.21534 -3.64123	FALSE
False	0	0	0		10	7521	mgj	abur1244	{}	4.62301	language	6.50634		Abureni	'Abureni [abur1244][mgj]-l-'	10050	unknown/safe		Atlantic-Congo	#A9A9A9	4.62301 6.50634	FALSE
False	3	0	0		264	1468	ado	abuu1241	{}	-4.24027	language	144.474		Abu	('Auwa [auwa1242]','Nuclear Abu [nucl1640]','Sabu {Papua New Guinea} [sabu1256]')'Abu [abuu1241][ado]-l-'	2817	unknown/safe		Lower Sepik-Ramu	#A9A9A9	-4.24027 144.474	FALSE
False	3	0	0		383	7228	tpx	acat1239	{}	17.1034	language	-99.0602		Acatepec Me'phaa	('Acatepec [acat1240]','Platanillo [plat1255]','Zapotitlán Tablas [zapo1435]')'Acatepec Me'phaa [acat1239][tpx]-l-'	9676	unknown/safe		Otomanguean	#A9A9A9	17.1034 -99.0602	FALSE
False	3	0	0		151	11639	acn	acha1249	{}	24.3479	language	97.7438		Longchuan Achang	('Longchuan [long1373]','Maingtha [main1270]','Xiandao [xian1249][xia]')'Longchuan Achang [acha1249][acn]-l-'	14449	unknown/safe	Burmese-Lolo	Sino-Tibetan	#A9A9A9	24.3479 97.7438	FALSE
False	0	0	0		79	8322	aca	acha1250	{}	4.38649	language	-72.2005		Achagua	'Achagua [acha1250][aca]-l-'	10978	severely endangered		Arawakan	#FFCB00	4.38649 -72.2005	FALSE
False	0	0	0		151	11612	yif	ache1244	{}	24.152	language	102.446		Ache	'Ache [ache1244][yif]-l-'	14415	unknown/safe		Sino-Tibetan	#A9A9A9	24.152 102.446	FALSE
False	2	0	0		51	2042	acz	ache1245	{}	10.8827	language	30.3187		Acheron	('Eastern Acheron [east2430]','Western Acheron [west2504]')'Acheron [ache1245][acz]-l-'	3713	severely endangered		Narrow Talodi	#FFCB00	10.8827 30.3187	FALSE
False	0	0	0		298	6770	guq	ache1246	{}	-25.5865	language	-56.4697		Aché	'Aché [ache1246][guq]-l-'	9293	definitely endangered	Tupi-Guaraní	Tupian	#EDED21	-25.5865 -56.4697	FALSE
False	0	0	0		304	9317	acr	achi1256	{}	15.073	language	-90.3513		Achi	'Achi [achi1256][acr]-l-'	12064	vulnerable		Mayan	#CBCB65	15.073 -90.3513	FALSE
False	7	0	0		21	7886	ace	achi1257	{}	3.90757	language	96.6032		Achinese	('Banda Aceh [band1356]','Baruh [baru1270]','Bueng [buen1246]','Daja {Indonesia} [daja1241]','Pase [pase1241]','Pidie [pidi1241]','Tunong [tuno1237]')'Achinese [achi1257][ace]-l-'	10622	unknown/safe	Malayo-Sumbawan	Austronesian	#A9A9A9	3.90757 96.6032	FALSE
False	0	0	0		89	13717	act	acht1238	{}	52.021	language	6.47521		Achterhoeks	'Achterhoeks [acht1238][act]-l-'	16114	vulnerable		Indo-European	#CBCB65	52.021 6.47521	FALSE
False	0	0	0		45	45	acv	achu1247	{}	41.0979	language	-121.191		Achumawi	'Achumawi [achu1247][acv]-l-'	620	critically endangered	Palaihnihan	Palaihnihan	#FF6500	41.0979 -121.191	FALSE
False	2	0	0		391	1739	acu	achu1248	{}	-2.82646	language	-77.2641		Achuar-Shiwiar	('Achuar [achu1249]','Shiwiar [shiw1235]')'Achuar-Shiwiar [achu1248][acu]-l-'	3277	definitely endangered	Jivaroan	Chicham	#EDED21	-2.82646 -77.2641	FALSE
False	3	0	0		429	5129	ach	acol1236	{}	3.57738	language	32.5147		Acoli	('Dhopaluo [dhop1238]','Labwor [labw1238][lth]','Nyakwai [nyak1263]')'Acoli [acol1236][ach]-l-'	7417	unknown/safe	Nilotic	Nilotic	#A9A9A9	3.57738 32.5147	FALSE
False	0	0	0		58	2076	acs	acro1239	{}	-12.594	language	-40.21445		Acroá	'Acroá [acro1239][acs]-l-'	3739	extinct		Nuclear-Macro-Je	#FF0000	-12.594 -40.21445	FALSE
False	0	0	0				xad	adai1235	{}	31.6314	language	-92.0059		Adai	'Adai [adai1235][xad]-l-'	276	extinct			#FF0000	31.6314 -92.0059	FALSE
False	0	0	0		193	1329	ads	adam1238	{}	5.834	language	-0.151		Adamorobe Sign Language	'Adamorobe Sign Language [adam1238][ads]-l-'	2599	unknown/safe	Sign Languages	Sign Language	#A9A9A9	5.834 -0.151	FALSE
False	7	0	0		10	7695	fub	adam1253	{}	8.140326	language	13.077338		Adamawa Fulfulde	('Bilkire Fulani [bilk1238]','Garoua [garo1248]','Gombe [gomb1248]','Kambariire [kamb1295]','Maroua Fulfulde [maro1243]','Ngaondéré [ngao1243]','Nomadic Fulfulde [noma1259]')'Adamawa Fulfulde [adam1253][fub]-l-'	10333	unknown/safe	Northern Atlantic	Atlantic-Congo	#A9A9A9	8.140326 13.077338	FALSE
False	6	0	0		10	3455	ada	adan1247	{}	5.9437	language	0.13243		Adangme	('Ada [adaa1238]','Gbugbla [gbug1238]','Krobo [krob1243]','Ningo [ning1270]','Osu [osuu1238]','Shai [shai1238]')'Adangme [adan1247][ada]-l-'	5204	unknown/safe		Atlantic-Congo	#A9A9A9	5.9437 0.13243	FALSE
False	0	0	0		10	5215	adq	adan1248	{}	6.50546	language	0.727155		Adangbe	'Adangbe [adan1248][adq]-l-'	7664	unknown/safe		Atlantic-Congo	#A9A9A9	6.50546 0.727155	FALSE
False	1	0	0		192	9124	adn	adan1251	{}	-8.18958	language	124.448		Adang	('Aimoli [aimo1245]')'Adang [adan1251][adn]-l-'	12000	unknown/safe	Greater Alor	Timor-Alor-Pantar	#A9A9A9	-8.18958 124.448	FALSE
False	2	0	0		21	7821	tiu	adas1235	{}	17.8187	language	120.905		Adasen	('Eastern Addasen [east2476]','Western Addasen [west2551]')'Adasen [adas1235][tiu]-l-'	10490	unknown/safe		Austronesian	#A9A9A9	17.8187 120.905	FALSE
False	2	0	0		10	5202	ade	adel1244	{}	8.16975	language	0.619185		Adele	('Lower Adele [lowe1404]','Upper Adele [uppe1417]')'Adele [adel1244][ade]-l-'	7614	unknown/safe		Atlantic-Congo	#A9A9A9	8.16975 0.619185	FALSE
False	0	0	0		429	9847	adh	adho1243	{}	0.73235	language	34.0341		Adhola	'Adhola [adho1243][adh]-l-'	12523	unknown/safe		Nilotic	#A9A9A9	0.73235 34.0341	FALSE
False	0	0	0		10	5211	adj	adio1239	{}	5.38228	language	-4.52522		Adioukrou	'Adioukrou [adio1239][adj]-l-'	7633	unknown/safe	Kwa	Atlantic-Congo	#A9A9A9	5.38228 -4.52522	FALSE
False	0	0	0		89	8445	ort	adiv1239	{}	18.1046	language	82.8487		Kotia-Adivasi Oriya-Desiya	'Kotia-Adivasi Oriya-Desiya [adiv1239][ort]-l-'	11114	unknown/safe	Indic	Indo-European	#A9A9A9	18.1046 82.8487	FALSE
False	0	0	0		89	11169	gas	adiw1235	{}	24.0712	language	73.1426		Adiwasi Garasia	'Adiwasi Garasia [adiw1235][gas]-l-'	13993	unknown/safe		Indo-European	#A9A9A9	24.0712 73.1426	FALSE
False	0	0	0		66	5788	adt	adny1235	{}	-30.1451	language	138.671		Adnyamathanha	'Adnyamathanha [adny1235][adt]-l-'	8248	definitely endangered		Pama-Nyungan	#EDED21	-30.1451 138.671	FALSE
False	3	0	0		21	17800	adr	adon1237	{}	-8.32027	language	123.159		Adonara	('East Adonara [east2470]','East Solor [east2469]','West Adonara [west2544]')'Adonara [adon1237][adr]-l-'	19592	unknown/safe		Austronesian	#A9A9A9	-8.32027 123.159	FALSE
False	5	0	0		351	1601	ady	adyg1241	{}	44	language	39.33		Adyghe	('Abadzex [abad1240]','Bezhedukh [bezh1247]','Natuzaj [natu1243]','Shapsug [shap1240]','Xakuchi [xaku1238]')'Adyghe [adyg1241][ady]-l-'	3001	vulnerable	Northwest Caucasian	Abkhaz-Adyge	#CBCB65	44 39.33	FALSE
