Language,Case,Case comment,default,Morphological,Noun type,Noun class,Number,Conditioning,Form,form_add,form_replace,form_delete,Prosodic form,prosody_clean,prosody_stress,prosody_tone,prosody_vowel_lengthening,Epenthesis,Intonation,Function,Optional,Reference,Notes,Quotes,Need_checking,Exclude
Aguaruna,accusative,,1,yes,,,,,-na,-n,,,,,,,,,,,,Overall 2007,,,,
Aguaruna,nominative,,1,yes,,,,,zero,zero,,,,,,,,,,,,Overall 2007,,"""The accent shift discussed above seems to be a practical consideration, based on thecommon situation of calling out someone’s name, often at a distance.""",,
Aguaruna,vocative,,1,prosodic,"personal names, kindship terms",,,,,-V,,,"supression of apocope, accent shift to final syllable",1,1,,,,accent shift to final syllable,,,Overall 2007,"based on paradigms such as: simoNk (nom), simoNkan (acc), simoNka (voc); underlying accusative is analysed as -na, but surface form has apocope in most examples; vocative is defined as blocking of apocope, hence the underspecified -V in our coding scheme; nominative shows apocope, so we coded this as zero to contrast it with preservation of V in the vocative","""All vocative-marked nouns typically involve accent shift to the final syllable"" (228)",,
Aguaruna,vocative,"""familiar vocative""",,yes,,,,,-u,-Vu,,,accent shift to final syllable,1,1,,,,accent shift to final syllable,,,Overall 2007,,,,
Aguaruna,vocative,"""unproductive""",,yes,human referents,,,,-ta,-Vta,,,accent shift to final syllable,1,1,,,,accent shift to final syllable,,,Overall 2007,,,,
Aguaruna,vocative,"""unproductive""",,yes,human referents,,,,-wa,-Vwa,,,accent shift to final syllable,1,1,,,,accent shift to final syllable,,,Overall 2007,,,,
Akkadian,accusative,,,yes,,,sg,,-am,-am,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,accusative,,,yes,,,dual,,-i:n,-iin,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,accusative,,,yes,,m,pl,,-i:,-ii,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,accusative,,,yes,,f,pl,,-a:t-im,-aatim,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,nominative,,,yes,,,sg,,-um,-um,,,,,,,,,,,,Huehnergard (1997),,,,
